Sample No,"depth, m",Quartz,K-feldspar,Plagioclase,Chlorite,K-mica,Kaolinite,Calcite,Dolomite,Siderite,Pyrite,Apatite,Gypsum,Pyrrothite,,Dol i,Dol ii,Doli/Dolii,Phyllosilicate,Feldspar
LST12-43b,69.12,2.9,0.7,,,3.8,,3.8,88.2,,0.5,,,,,77.8,10.4,7.48,3.8,0.7
LST12-27,70,2.7,0.9,,,4.1,,4.9,87.1,,0.4,,,,,66.7,20.4,3.27,4.1,0.9
LST12-28,71,4.1,0.3,,,1.5,,14.3,79.5,,0.3,,,,,57.6,21.9,2.63,1.5,0.3
LST12-29,72,0.7,0.2,,,2.2,,5.2,91.5,,0.2,,,,,70.8,20.7,3.42,2.2,0.2
LST12-30,73,5.2,0.5,,,1.7,,2.9,89.3,,0.3,,,,,67.7,21.7,3.12,1.7,0.5
LST12-44b,73.95,0.9,,,,3.2,,5.3,90.1,,0.3,,,,,77.2,12.8,6.03,3.2,0
LST12-31,75,0.7,0.2,,,1.4,,5.3,92.2,,0.2,,,,,74,18.2,4.07,1.4,0.2
LST12-31C,75,,,,,,,,,,,,,,,,,,,
LST12-31B,75,,,,,,,,,,,,,,,,,,,
LST12-32H,75.5,0.5,0.4,,,0.3,,4.2,94.3,,0.3,,,,,73.2,21,3.49,0.3,0.4
LST12-32T,75.5,54.4,,,,,,37.9,7.1,0.2,0.4,,,,,,,,0,0
LST12-33,76,1,0.3,,,2.7,,5.3,89.6,,0.3,0.8,,,,74.3,15.3,4.86,2.7,0.3
LST12-34,77,2.4,,,,1.4,,2.5,91.2,,0.2,2.4,,,,75.8,15.4,4.92,1.4,0
LST12-34C,77,,,,,,,,,,,,,,,,,,,
LST12-34B,77,,,,,,,,,,,,,,,,,,,
LST12-45bgray,78.75,0.5,0.2,,,4.4,,0.6,91.2,,0.5,2.5,,,,76.5,14.7,5.2,4.4,0.2
LST12-45bpink,78.75,1,,,,3.8,,5.8,89.1,,0.4,,,,,76.7,12.4,6.19,3.8,0
LST12-45bC,78.75,,,,,,,,,,,,,,,,,,,
LST12-45bB,78.75,,,,,,,,,,,,,,,,,,,
LST12-35,79,0.7,0.4,,,2.5,,9.4,81.9,,0.5,4.6,,,,58.6,23.3,2.52,2.5,0.4
LST12-35C,79,,,,,,,,,,,,,,,,,,,
LST12-35B,79,,,,,,,,,,,,,,,,,,,
